id,state_po,county,democrat,republican,dempct
723,IL,Pike,1413.0,5754.0,0.19715362076182502
724,IL,Randolph,3439.0,10023.0,0.25545981280641805
725,IL,Shelby,2288.0,8229.0,0.21755253399258342
726,IL,St. Clair,60756.0,53857.0,0.5300969349026725
727,IL,Washington,1448.0,5571.0,0.20629719333238353
728,IL,Boone,8986.0,12282.0,0.42251269512883205
729,IL,Carroll,2447.0,4434.0,0.355616916145909
730,IL,Clark,1877.0,5622.0,0.25030004000533407
731,IL,Crawford,1992.0,6277.0,0.24089974603942435
732,IL,Fulton,6133.0,8492.0,0.4193504273504273
733,IL,Johnson,1142.0,4649.0,0.19720255568986358
734,IL,Logan,3313.0,8181.0,0.28823734122150685
735,IL,Pope,375.0,1678.0,0.1826595226497808
736,IL,Pulaski,962.0,1675.0,0.36480849450132724
737,IL,Saline,2572.0,8276.0,0.237094395280236
738,IL,Scott,535.0,1966.0,0.21391443422630949
739,IL,Union,2402.0,5790.0,0.293212890625
740,IL,White,1412.0,5640.0,0.20022688598979013
741,IL,Lake,171095.0,109767.0,0.6091781729105397
742,IL,Adams,7676.0,22790.0,0.2519529967832994
743,IL,Douglas,1949.0,5698.0,0.25487119131685626
744,IL,Hamilton,802.0,3206.0,0.2000998003992016
745,IL,Putnam,1147.0,1767.0,0.39361702127659576
746,IL,Cook,1611946.0,453287.0,0.7805153219999874
747,IL,Effingham,3083.0,13635.0,0.18441201100610122
748,IL,Hancock,2139.0,6430.0,0.2496207258723305
749,IL,Jasper,924.0,3975.0,0.1886099203919167
750,IL,Warren,2987.0,4275.0,0.41131919581382537
751,IL,Wayne,1048.0,6967.0,0.13075483468496568
752,IL,Cass,1621.0,3216.0,0.335125077527393
753,IL,Clinton,3945.0,12412.0,0.2411811456868619
754,IL,Grundy,8065.0,13454.0,0.374785073655839
755,IL,Hardin,420.0,1653.0,0.20260492040520983
756,IL,Winnebago,55713.0,55624.0,0.5003996874354437
757,IL,Alexander,1262.0,1496.0,0.45757795503988397
758,IL,Bond,2068.0,4888.0,0.2972972972972973
759,IL,Brown,476.0,1796.0,0.20950704225352113
760,IL,Bureau,6029.0,9281.0,0.3937949052906597
761,IL,Champaign,50137.0,33368.0,0.6004071612478294
762,IL,Christian,3992.0,10543.0,0.27464740282077743
763,IL,Coles,7309.0,13003.0,0.35983654982276486
764,IL,Cumberland,1031.0,4206.0,0.19686843612755395
765,IL,De Witt,1910.0,5077.0,0.27336482038070703
766,IL,DuPage,228622.0,166415.0,0.5787356627353893
767,IL,Edgar,1793.0,5645.0,0.24105942457649907
768,IL,Edwards,434.0,2778.0,0.13511830635118308
769,IL,Ford,1414.0,4480.0,0.23990498812351543
770,IL,Gallatin,657.0,1942.0,0.2527895344363217
771,IL,Henderson,1155.0,2155.0,0.34894259818731116
